DateTime,SpCondShallow_uS/cm,ODOShallow_mg/L,TempShallow_C,pHShallow,TurbShallow_NTU+,ChlRFUShallow_RFU,n_obs_SpCondShallow_uS/cm,n_obs_ODOShallow_mg/L,n_obs_TempShallow_C,n_obs_pHShallow,n_obs_TurbShallow_NTU+,n_obs_ChlRFUShallow_RFU,SpCondShallow_uS/cm_z,ODOShallow_mg/L_z,TempShallow_C_z,pHShallow_z,TurbShallow_NTU+_z,ChlRFUShallow_RFU_z
2014-06-12,481.5,8.795,17.275,8.54,7.15,2.6,8,8,8,8,8,8,-2.171854915508323,-0.3249637801522522,-0.4495967524567668,0.1703377117964229,-0.14281706874603609,-0.23958061240152348
2014-06-13,484.0,8.64,17.125,8.59,7.0,2.5,96,96,96,96,96,96,-2.153606381793018,-0.4231285697273471,-0.4916572199609145,0.3603739315905861,-0.1597897982021567,-0.3023554610845177
2014-06-14,487.0,8.285,16.79,8.58,6.1,2.3,96,96,96,96,96,96,-2.131708141334652,-0.6479576039154689,-0.5855922640535122,0.32236668763175486,-0.26162617493888013,-0.4279051584505062
2014-06-15,486.0,8.04,15.85,8.49,6.9,2.2,96,96,96,96,96,96,-2.139007554820774,-0.8031213035664265,-0.8491711937461733,-0.019698507997733584,-0.1711049511729037,-0.49068000713350013
2014-06-16,489.0,7.96,15.6,8.47,6.2,2.2,96,96,96,96,96,96,-2.1171093143624082,-0.8537870014116365,-0.9192719729197536,-0.09571299591539617,-0.25031102196813304,-0.49068000713350013
2014-06-17,494.0,8.23,16.0,8.475000000000001,6.05,2.4,96,96,96,96,96,96,-2.080612246931798,-0.6827902711840509,-0.8071107262420252,-0.07670937393597715,-0.26728375142425365,-0.36513030976751193
2014-06-18,498.0,8.36,16.76,8.475000000000001,5.5,2.1,96,96,96,96,96,96,-2.05141459298731,-0.6004585121855844,-0.5940043575543411,-0.07670937393597715,-0.3295170927633624,-0.5534548558164943
2014-06-19,496.0,8.08,16.305,8.4,5.7,2.2,96,96,96,96,96,96,-2.066013419959554,-0.7777884546438207,-0.7215877756502574,-0.361763703627222,-0.30688678682186826,-0.49068000713350013
2014-06-20,496.5,8.16,16.29,8.39,5.7,2.6,96,96,96,96,96,96,-2.062363713216493,-0.7271227567986103,-0.7257938224006725,-0.3997709475860533,-0.30688678682186826,-0.23958061240152348
2014-06-21,500.0,8.92,16.85,8.54,5.6,2.8,96,96,96,96,96,96,-2.036815766015066,-0.24579862726911078,-0.5687680770518523,0.1703377117964229,-0.31820193979261535,-0.11403091503553528
2014-06-22,500.0,9.095,16.83,8.594999999999999,5.7,3.5,96,96,96,96,96,96,-2.036815766015066,-0.1349674132327124,-0.5743761393857395,0.3793775535699984,-0.30688678682186826,0.32539302574542406
2014-06-23,501.0,9.16,17.31,8.675,6.7,3.65,96,96,96,96,96,96,-2.029516352528944,-0.09380153373347921,-0.43978264337246553,0.6834355052406623,-0.19373525711439782,0.41955529876991526
2014-06-24,509.0,9.03,17.62,8.66,6.2,3.8,96,96,96,96,96,96,-1.971121044639968,-0.17613329273194675,-0.3528576771972255,0.626424639302412,-0.25031102196813304,0.5137175717944065
2014-06-25,509.0,9.15,17.82,8.67,5.4,3.5,96,96,96,96,96,96,-1.971121044639968,-0.1001347459641304,-0.29677705385836156,0.6644318832612433,-0.34083224573410936,0.32539302574542406
2014-06-26,519.0,9.09,18.28,8.66,4.9,3.0,96,96,96,96,96,96,-1.898126909778748,-0.13813401934803857,-0.16779162017897384,0.626424639302412,-0.39740801058784464,0.011518782330453182
2014-06-27,520.0,8.805,18.6,8.65,4.3,3.1,86,86,86,86,86,86,-1.8908274962926261,-0.318630567921601,-0.07806262283679116,0.5884173953435806,-0.46529892841232695,0.07429363101344742
2014-06-28,515.0,9.475,19.865,8.76,4.1,3.3,96,96,96,96,96,96,-1.9273245637232361,0.10569465153203673,0.2766473197815236,1.0064970788907317,-0.4879292343538211,0.1998433283794356
2014-06-29,512.0,9.99,20.025,8.82,4.45,4.1,96,96,96,96,96,96,-1.949222804181602,0.43185508141057954,0.32151181845261495,1.2345405426437261,-0.44832619895620635,0.7020421178433889
2014-06-30,515.0,8.405000000000001,19.62,8.69,6.8,4.0,96,96,96,96,96,96,-1.9273245637232361,-0.5719590571476525,0.20794855619141575,0.7404463711789059,-0.1824201041436508,0.639267269160395
2014-07-01,512.0,8.055,18.795,8.64,6.2,3.7,96,96,96,96,96,96,-1.949222804181602,-0.7936214852204493,-0.02338401508139856,0.5504101513847494,-0.25031102196813304,0.45094272311141254
2014-07-02,516.0,8.45,18.33,8.67,5.6,4.0,96,96,96,96,96,96,-1.9200251502371142,-0.5434596021097228,-0.15377146434425862,0.6644318832612433,-0.31820193979261535,0.639267269160395
2014-07-03,518.0,11.26,19.12,8.95,8.2,4.9,96,96,96,96,96,96,-1.90542632326487,1.2361730347032958,0.06774699784425545,1.7286347141085399,-0.024007962553192232,1.2042409073073428
2014-07-04,525.0,9.99,19.39,8.895,6.5,4.65,96,96,96,96,96,96,-1.8543304288620162,0.43185508141057954,0.1434558393517219,1.5195948723349644,-0.21636556305589194,1.0473037855998573
2014-07-05,527.0,9.805,19.8,8.94,8.0,5.1,96,96,96,96,96,96,-1.839731601889772,0.31469065514353,0.2584211171963934,1.6906274701497086,-0.04663826849468625,1.3297906046733308
2014-07-06,525.0,11.64,21.415,9.11,11.1,5.7,96,96,96,96,96,96,-1.8543304288620162,1.476835099468046,0.7112721506577208,2.3367506174498542,0.30413147359847215,1.706439696771296
2014-07-07,527.0,10.325,21.695,9.065,11.2,4.75,96,96,96,96,96,96,-1.839731601889772,0.6440176911373978,0.7897850233321309,2.16571801963511,0.3154466265692191,1.1100786342828513
