DateTime,chl_rfu_monthly_mean,chl_rfu_monthly_median_daily,chl_rfu_monthly_std_of_daily_means,n_days_in_month,year,month,year_month
2014-06-30,3.0162012043189366,2.9255208333333336,0.7118787518989794,20,2014,6,2014-06
2014-07-31,4.937554713869581,4.971875,0.9467128594384032,31,2014,7,2014-07
2014-08-31,4.56625556730496,4.922916666666667,1.3372305765087094,26,2014,8,2014-08
2014-09-30,1.560625,1.5166666666666666,0.11826105480390976,5,2014,9,2014-09
2015-05-31,2.3351089697380516,1.9694444444444443,1.0782099395731848,18,2015,5,2015-05
2015-06-30,2.1102546296296296,1.7909722222222222,0.910322669763018,30,2015,6,2015-06
2015-07-31,2.4603639176915038,2.4993055555555554,0.6111848087292094,29,2015,7,2015-07
2015-08-31,3.007626780005812,2.979861111111111,0.48722540779391044,31,2015,8,2015-08
2015-09-30,3.0181713844461373,2.8958333333333335,0.43265720618201076,17,2015,9,2015-09
2016-05-31,1.0317852528608342,1.0704861111111112,0.24555078905095928,14,2016,5,2016-05
2016-06-30,1.1864696657707166,1.1309027777777776,0.32058615292118836,30,2016,6,2016-06
2016-07-31,2.4884175331022838,2.4868055555555553,0.3690032581120461,31,2016,7,2016-07
2016-08-31,3.4074533968903915,3.3666666666666667,0.5889902233068424,31,2016,8,2016-08
2016-09-30,6.200914251650718,4.583126477541372,4.432056170370734,28,2016,9,2016-09
2017-05-31,2.045597044403708,1.8291666666666666,0.6365517484400293,23,2017,5,2017-05
2017-06-30,2.1810717407707023,2.139619610281924,0.5173494149942803,30,2017,6,2017-06
2017-07-31,3.1543747944870146,3.4080291970802916,1.1835273402958604,31,2017,7,2017-07
2017-08-31,4.139151986009036,4.315384615384615,0.8257196938149677,31,2017,8,2017-08
2017-09-30,2.669214828911281,2.620486111111111,0.623261888127459,30,2017,9,2017-09
2017-10-31,2.1451508192157798,2.1597222222222223,0.17319161054550572,11,2017,10,2017-10
2018-05-31,1.3159108087679516,1.2625000000000002,0.2710814563030739,3,2018,5,2018-05
2018-06-30,2.1808978268240873,2.0121527777777777,0.5692365367419228,30,2018,6,2018-06
2018-07-31,3.9453578339971895,3.957638888888889,0.4671982962710243,31,2018,7,2018-07
2018-08-31,3.4836946082113855,3.5055555555555555,0.30838791532143595,29,2018,8,2018-08
2018-09-30,2.3645564923560705,2.459375,0.551662085306549,30,2018,9,2018-09
2018-10-31,1.7246031746031747,1.7842757936507936,0.169861183344041,4,2018,10,2018-10
2019-05-31,0.7447476939083654,0.7518518518518519,0.04022999178593376,3,2019,5,2019-05
2019-06-30,0.7822099603230147,0.7422886743583706,0.1269293292135933,30,2019,6,2019-06
2019-07-31,1.5291657984951808,1.3250000000000002,0.5518235219785304,31,2019,7,2019-07
2019-08-31,3.309634671401188,3.0256944444444445,0.918990926393242,31,2019,8,2019-08
2019-09-30,4.774664448505975,5.018566666666667,1.3837783302621942,30,2019,9,2019-09
2019-10-31,3.138899867465358,3.112295081967213,0.09210541367645579,3,2019,10,2019-10
2020-06-30,2.844548611111111,2.974652777777778,0.6091952405595857,20,2020,6,2020-06
2020-07-31,3.3415098566308243,3.3256944444444443,0.33751446536203555,31,2020,7,2020-07
2020-08-31,4.331224188705194,3.9909090909090907,1.3964827817475023,27,2020,8,2020-08
2020-09-30,5.322811942909413,4.146614583333333,2.14345625931411,30,2020,9,2020-09
2021-06-30,0.9911715106679647,0.9847027972027972,0.4696153904081731,28,2021,6,2021-06
2021-07-31,1.39098919426169,1.4625,0.5026663136114905,31,2021,7,2021-07
2021-08-31,1.9102624324429298,1.9236111111111112,0.32321822227810587,31,2021,8,2021-08
2021-09-30,0.9102548219608823,0.8989583333333333,0.6935914975383406,30,2021,9,2021-09
2021-10-31,0.1083754737504363,0.11267605633802817,0.014669955040915759,7,2021,10,2021-10
