epoch,train_loss_z,train_loss_name,train_LY,train_LD,train_rho,val_rmse_chl,val_mae_chl,lr,seconds
1,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00005000,1.50
2,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00005000,1.58
3,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00005000,1.29
4,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00005000,1.54
5,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00002500,1.39
6,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00002500,1.57
7,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00002500,1.41
8,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00001250,1.15
9,0.000000,mse,nan,nan,nan,1.736265,1.135918,0.00001250,1.39
