epoch,train_mse_z,val_rmse_chl,val_mae_chl,lr,seconds
1,0.530378,1.691892,1.320016,0.00050000,2.39
2,0.303849,1.847812,1.398997,0.00050000,1.88
3,0.215233,1.889608,1.408358,0.00050000,2.05
4,0.158781,1.983123,1.534501,0.00050000,2.06
5,0.128603,1.960640,1.523616,0.00025000,1.71
6,0.117635,1.949383,1.509226,0.00025000,2.12
7,0.111600,1.937305,1.506186,0.00025000,2.14
8,0.103929,1.952118,1.498629,0.00012500,1.99
