epoch,train_loss_z,train_loss_name,train_LY,train_LD,train_rho,val_rmse_chl,val_mae_chl,lr,seconds
1,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00050000,2.98
2,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00050000,2.46
3,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00050000,3.07
4,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00050000,3.02
5,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00025000,3.06
6,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00025000,2.98
7,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00025000,2.84
8,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00012500,2.96
9,0.000000,mse,nan,nan,nan,1.941532,1.372071,0.00012500,2.35
