epoch,train_loss_z,train_loss_name,train_LY,train_LD,train_rho,val_rmse_chl,val_mae_chl,lr,seconds
1,0.334441,mse,nan,nan,nan,1.214705,0.707848,0.00010000,0.65
2,0.000000,mse,nan,nan,nan,1.214705,0.707848,0.00010000,0.54
3,0.913638,mse,nan,nan,nan,1.214722,0.707841,0.00010000,0.60
4,0.000000,mse,nan,nan,nan,1.214722,0.707841,0.00010000,0.46
5,0.281176,mse,nan,nan,nan,1.214718,0.707822,0.00005000,0.62
6,0.000000,mse,nan,nan,nan,1.214718,0.707822,0.00005000,0.54
7,0.234920,mse,nan,nan,nan,1.214664,0.707751,0.00005000,0.61
8,0.000000,mse,nan,nan,nan,1.214664,0.707751,0.00002500,0.49
9,1.925430,mse,nan,nan,nan,1.214646,0.707725,0.00002500,0.58
