epoch,train_loss_z,train_loss_name,train_LY,train_LD,train_rho,val_rmse_chl,val_mae_chl,lr,seconds
1,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00010000,0.41
2,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00010000,0.30
3,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00010000,0.34
4,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00010000,0.37
5,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00005000,0.27
6,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00005000,0.37
7,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00005000,0.38
8,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00002500,0.31
9,0.000000,mse,nan,nan,nan,0.884808,0.461069,0.00002500,0.36
