epoch,train_mse_z,val_rmse_chl,val_mae_chl,lr,seconds
1,0.490089,1.778520,1.377420,0.00050000,2.84
2,0.281384,1.775833,1.370381,0.00050000,2.20
3,0.211873,1.795541,1.380362,0.00050000,2.22
4,0.162754,1.933988,1.498630,0.00050000,2.30
5,0.134626,1.884878,1.464157,0.00050000,2.46
6,0.113467,1.838104,1.410980,0.00025000,2.48
7,0.105533,1.837575,1.400542,0.00025000,2.52
8,0.099528,1.859862,1.441180,0.00025000,2.51
9,0.092643,1.840029,1.415218,0.00012500,2.47
