epoch,train_loss_z,train_loss_name,train_LY,train_LD,train_rho,val_rmse_chl,val_mae_chl,lr,seconds
1,0.263622,tdalign_mse,1.113084,nan,0.669613,1.963006,1.375880,0.00010000,0.96
2,0.000000,tdalign_mse,1.123386,nan,0.669168,1.963006,1.375880,0.00010000,0.44
3,0.000000,tdalign_mse,1.393396,nan,0.667499,1.963006,1.375880,0.00010000,0.47
4,0.000000,tdalign_mse,1.103792,nan,0.669745,1.963006,1.375880,0.00010000,0.44
5,0.000000,tdalign_mse,1.122330,nan,0.669704,1.963006,1.375880,0.00005000,0.44
