epoch,train_loss,train_loss_sup,train_loss_distill,val_rmse_chl,val_mae_chl,val_n_valid,lr,seconds
1,0.785480,0.903541,0.667420,1.573443,1.188831,283417,0.00100000,0.29
2,0.598096,0.717493,0.478700,1.527710,1.071294,283417,0.00100000,0.26
3,0.558728,0.664688,0.452767,1.528224,1.077523,283417,0.00100000,0.37
4,0.530191,0.634334,0.426048,1.568815,1.122277,283417,0.00100000,0.23
5,0.493952,0.607789,0.380115,1.519162,1.074139,283417,0.00100000,0.27
