epoch,train_loss,train_loss_sup,train_loss_distill,val_rmse_chl,val_mae_chl,val_n_valid,lr,seconds
1,0.000000,0.000000,0.000000,1.978568,1.412073,11025,0.00050000,0.35
2,0.000000,0.000000,0.000000,1.978568,1.412073,11025,0.00050000,0.38
3,0.000000,0.000000,0.000000,1.978568,1.412073,11025,0.00050000,0.38
4,0.000000,0.000000,0.000000,1.978568,1.412073,11025,0.00050000,0.47
5,0.000000,0.000000,0.000000,1.978568,1.412073,11025,0.00025000,0.45
6,0.367290,0.670095,0.064486,1.972949,1.406766,11025,0.00025000,0.33
7,0.000000,0.000000,0.000000,1.972949,1.406766,11025,0.00025000,0.33
8,0.000000,0.000000,0.000000,1.972949,1.406766,11025,0.00025000,0.30
9,0.000000,0.000000,0.000000,1.972949,1.406766,11025,0.00025000,0.37
10,0.000000,0.000000,0.000000,1.972949,1.406766,11025,0.00012500,0.45
